auction_id;auction_name;auction_country;country_isocode;startdate;closedate;onlinedate;is_private;is_active;is_homedelivery;is_public;open_for_bidding;is_closed;sourcing_company
43221;Alles voor de slaapkamer;Netherlands;nl;2019-12-28;2020-01-05;;0;0;1;;0;1;bva
44947;Zonnepanelen, omvormers en aluminium steigermateriaal te Overloon;Netherlands;nl;2020-02-14;2020-02-25;;0;0;0;;0;1;bva
45775;Exclusieve eiken parketvloeren te Utrecht;Netherlands;nl;2020-02-20;2020-02-27;;0;0;0;;0;1;bva
44687;Scooterveiling te Leiden;Netherlands;nl;2020-01-02;2020-01-08;;0;0;0;;0;1;bva
46125;Lobby hotel De L'Europe Amsterdam te Alkmaar;Netherlands;nl;2020-02-15;2020-02-25;;0;0;0;;0;1;bva
46216;Gaming-pc’s, ICT & POS-apparatuur;Netherlands;nl;2020-02-21;2020-02-29;;0;0;1;;0;1;bva
46096;Kantoormeubilair, magazijninventaris, kleding en decoratie te Boxmeer;Netherlands;nl;2020-02-14;2020-02-25;;0;0;0;;0;1;bva
45571;Faillissement Keverparts B.V. te Den Haag;Netherlands;nl;2020-01-30;2020-02-17;;0;0;0;;0;1;bva
42863;Tuin(hout), plaatmateriaal, bouwmaterialen en varia te Vroomshoop;Netherlands;nl;2019-12-20;2020-01-03;;0;0;0;;0;1;bva
44190;(Bezorgveiling) Conumentenelektronica (Combi Elektronica en gadgets);Netherlands;nl;2019-12-31;2020-01-07;;0;0;1;;0;1;bva
43083;GEANNULEERD -       Rotterdam, Van Langendonckstraat  35;Netherlands;nl;2020-01-24;2020-01-24;;0;0;0;;0;1;nvv
45296;Consumenten en DHZ artikelen te Helmond;Netherlands;nl;2020-01-08;2020-01-15;;0;0;0;;0;1;bva
45948;The daily vintage market (tue - evening);Netherlands;nl;2020-02-04;2020-02-11;;0;0;1;;0;1;art
44515;ONDERHANDS VERKOCHT -       Haarlem, Beijnesweg 13;Netherlands;nl;2020-02-13;2020-02-13;;0;1;0;;0;1;bog
45108;Apple producten, nieuw & refurbished;Netherlands;nl;2020-01-22;2020-01-30;;0;0;1;;0;1;bva
45031;Partij roldeurkasten (Aspa) (Domeinen Roerende Zaken) Zwolle;Netherlands;nl;2019-12-24;2020-01-09;;0;0;0;;0;1;bva
45337;Kleding, horloges en schoenen voor heren van o.a. Calvin Klein, Bjorn Borg, PME en Polo;Netherlands;nl;2020-01-21;2020-01-25;;0;0;1;;0;1;bva
45695;RHIB, Rigged-Hull Inflatable Boat 8.50 x 3.00 meter (Domeinen Roerende Zaken) Den Haag;Netherlands;nl;2020-01-23;2020-02-10;;0;0;0;;0;1;bva
44905;Faillissementsdossiers te Amersfoort;Netherlands;nl;2020-01-20;2020-01-27;;0;0;0;;0;1;bva
45166;Collectibles and jewelry;Netherlands;nl;2020-01-14;2020-01-21;;0;0;1;;0;1;art
46206;Kantoorinventaris en Xerox printers (Domeinen Roerende Zaken) te Amersfoort;Netherlands;nl;2020-02-21;2020-02-24;;0;0;0;;0;1;bva
44646;Tuin en terras;Netherlands;nl;2020-02-08;2020-02-16;;0;0;1;;0;1;bva
45395;The daily vintage market (fri);Netherlands;nl;2020-01-31;2020-02-07;;0;0;1;;0;1;art
45399;Woon- en slaapmeubilair;Netherlands;nl;2020-01-20;2020-01-28;;0;0;1;;0;1;bva
45759;Boxsprings, bedden & matrassen;Netherlands;nl;2020-02-06;2020-02-13;;0;0;1;;0;1;bva
45192;K Horeca apparatuur en gereedschappen te Dwingeloo (Horeca Shop Nederland);Netherlands;nl;2020-01-21;2020-02-03;;0;1;0;;0;1;bva
46037;Partij bureaus ca 500 stuks (Domeinen Roerende Zaken) Heerlen;Netherlands;nl;2020-02-06;2020-02-13;;0;0;0;;0;1;bva
