AUCTIONID,AUCTIONSTARTDATE,AUCTIONENDDATE,LOTMINSTARTDATE,LOTMAXSTARTDATE,LOTMINENDDATE,LOTMAXENDDATE,BIDRANGENAME
45483,01-02-2020 05:01:00,08-02-2020 05:00:00,01-02-2020 05:01:00,01-02-2020 05:01:00,08-02-2020 05:00:00,09-02-2020 01:27:00,de Standard en Standard nl Standaard biedranges
45490,08-02-2020 05:01:00,16-02-2020 06:30:00,08-02-2020 05:01:00,08-02-2020 05:01:00,16-02-2020 06:04:00,16-02-2020 11:44:00,de Standard en Standard nl Standaard biedranges
45538,11-02-2020 05:00:00,16-02-2020 07:45:00,11-02-2020 05:00:00,11-02-2020 05:00:00,16-02-2020 07:45:00,16-02-2020 10:04:00,de Standard en Standard nl Standaard biedranges
45575,08-02-2020 05:00:00,15-02-2020 05:00:00,08-02-2020 05:00:00,08-02-2020 05:00:00,15-02-2020 05:00:00,16-02-2020 01:11:00,de Standard en Standard nl Standaard biedranges
45594,12-02-2020 05:00:00,26-02-2020 06:00:00,12-02-2020 05:00:00,12-02-2020 05:00:00,26-02-2020 06:00:00,26-02-2020 06:55:00,de Standard en Standard nl Standaard biedranges
45605,07-02-2020 05:00:00,12-02-2020 08:15:00,07-02-2020 05:00:00,07-02-2020 05:00:00,12-02-2020 08:15:00,12-02-2020 09:32:00,nl Top Lots
45619,08-02-2020 05:01:00,19-02-2020 07:30:00,08-02-2020 05:01:00,08-02-2020 05:01:00,19-02-2020 07:30:00,19-02-2020 10:06:00,de Standard en Standard nl Standaard biedranges
45672,11-02-2020 05:01:00,18-02-2020 04:01:00,11-02-2020 05:01:00,11-02-2020 05:01:00,18-02-2020 04:00:00,19-02-2020 02:50:00,de Standard en Standard nl Standaard biedranges
45675,13-02-2020 05:01:00,20-02-2020 06:15:00,13-02-2020 05:01:00,13-02-2020 05:01:00,20-02-2020 06:15:00,20-02-2020 08:52:00,de Standard en Standard nl Standaard biedranges
45744,06-02-2020 05:01:00,17-02-2020 08:00:00,06-02-2020 05:01:00,06-02-2020 05:01:00,17-02-2020 08:00:00,17-02-2020 08:36:00,nl Bva-Automotive
45800,06-02-2020 12:00:00,17-02-2020 10:00:00,06-02-2020 12:00:00,06-02-2020 12:00:00,17-02-2020 10:01:00,17-02-2020 12:05:00,de Standard en Standard nl Standaard biedranges
45819,11-02-2020 05:00:00,15-02-2020 04:00:00,11-02-2020 05:00:00,11-02-2020 05:00:00,15-02-2020 04:00:00,16-02-2020 02:16:00,nl Biedrange 0-15 1 euro (Beuknoot)
45844,14-02-2020 12:00:00,23-02-2020 06:30:00,14-02-2020 12:00:00,14-02-2020 12:00:00,23-02-2020 06:30:00,23-02-2020 07:48:00,de Standard en Standard nl Standaard biedranges
45879,19-02-2020 12:00:00,26-02-2020 07:15:00,19-02-2020 12:00:00,19-02-2020 12:00:00,26-02-2020 07:15:00,26-02-2020 08:20:00,de Standard en Standard nl Standaard biedranges
45975,07-02-2020 09:00:00,19-02-2020 04:01:00,07-02-2020 09:00:00,19-02-2020 04:59:00,19-02-2020 03:34:00,19-02-2020 05:54:00,de Standard en Standard nl Standaard biedranges
45980,10-02-2020 05:00:00,19-02-2020 04:15:00,10-02-2020 05:00:00,19-02-2020 07:39:00,19-02-2020 04:15:00,19-02-2020 07:59:00,de Standard en Standard nl Standaard biedranges
45993,06-02-2020 12:01:00,18-02-2020 05:00:00,06-02-2020 12:01:00,06-02-2020 12:01:00,18-02-2020 05:15:00,18-02-2020 05:15:00,de Standard en Standard nl Standaard biedranges
46010,28-02-2020 06:01:00,29-02-2020 10:00:00,28-02-2020 06:01:00,28-02-2020 06:01:00,29-02-2020 10:00:00,29-02-2020 06:22:00,nl 1 Euro stappen
46080,17-02-2020 10:00:00,24-02-2020 07:30:00,17-02-2020 10:00:00,17-02-2020 10:00:00,24-02-2020 07:30:00,24-02-2020 08:58:00,de Standard en Standard nl Standaard biedranges
46093,17-02-2020 05:01:00,24-02-2020 06:45:00,17-02-2020 05:01:00,17-02-2020 05:01:00,24-02-2020 06:45:00,24-02-2020 08:33:00,de Standard en Standard nl Standaard biedranges
46122,14-02-2020 11:00:00,17-02-2020 05:00:00,14-02-2020 11:00:00,14-02-2020 11:00:00,17-02-2020 05:00:00,17-02-2020 06:09:00,de Standard en Standard nl Standaard biedranges
43501,11-02-2020 10:30:00,11-02-2020 12:45:00,11-02-2020 10:30:00,11-02-2020 10:30:00,11-02-2020 01:01:00,11-02-2020 01:01:00,nl Per 1000 ophogen
43857,01-01-2020 05:00:00,08-01-2020 07:00:00,01-01-2020 05:00:00,01-01-2020 05:00:00,08-01-2020 07:35:00,08-01-2020 07:35:00,nl Schipveiling
44023,25-12-2019 05:00:00,02-01-2020 04:00:00,25-12-2019 05:00:00,25-12-2019 05:00:00,02-01-2020 04:00:00,02-01-2020 07:28:00,de Standard en Standard nl Standaard biedranges
44033,01-01-2020 05:00:00,08-01-2020 04:15:00,01-01-2020 05:00:00,01-01-2020 05:00:00,08-01-2020 04:16:00,08-01-2020 07:33:00,de Standard en Standard nl Standaard biedranges
44111,06-02-2020 10:00:00,06-02-2020 10:00:00,06-02-2020 10:00:00,06-02-2020 10:00:00,06-02-2020 10:00:00,06-02-2020 10:00:00,nl Vastgoed Standaard biedranges
44315,01-01-2020 05:00:00,05-01-2020 08:00:00,01-01-2020 05:00:00,01-01-2020 05:00:00,05-01-2020 08:00:00,05-01-2020 09:30:00,nl Top Lots
44495,13-02-2020 11:00:00,13-02-2020 11:00:00,13-02-2020 11:00:00,13-02-2020 11:00:00,13-02-2020 11:00:00,13-02-2020 11:00:00,nl Vastgoed Standaard biedranges
44820,23-12-2019 05:00:00,06-01-2020 04:00:00,23-12-2019 05:00:00,23-12-2019 05:00:00,06-01-2020 04:00:00,06-01-2020 08:20:00,de Standard en Standard nl Standaard biedranges
44824,21-01-2020 05:00:00,05-02-2020 04:00:00,21-01-2020 05:00:00,21-01-2020 05:00:00,05-02-2020 04:00:00,05-02-2020 08:57:00,de Standard en Standard nl Standaard biedranges
